Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxStdErrRelative,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,I,J,Mean,StdErr,StdDev,Allocated
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0,0.9325 ns,0.0072 ns,0.0270 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0,0.8229 ns,0.0041 ns,0.0157 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,25,0.9116 ns,0.0043 ns,0.0167 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,25,0.8348 ns,0.0062 ns,0.0234 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,50,0.9432 ns,0.0063 ns,0.0244 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,50,0.8079 ns,0.0065 ns,0.0253 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,75,0.9398 ns,0.0043 ns,0.0160 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,75,0.8443 ns,0.0052 ns,0.0202 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,99,0.9419 ns,0.0033 ns,0.0120 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,99,0.8187 ns,0.0059 ns,0.0229 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,0,0.9411 ns,0.0072 ns,0.0279 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,0,0.8488 ns,0.0048 ns,0.0187 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,25,0.9319 ns,0.0046 ns,0.0176 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,25,0.8183 ns,0.0056 ns,0.0202 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,50,0.9329 ns,0.0084 ns,0.0325 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,50,0.7834 ns,0.0031 ns,0.0122 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,75,0.9063 ns,0.0044 ns,0.0171 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,75,0.8023 ns,0.0044 ns,0.0171 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,99,0.9327 ns,0.0039 ns,0.0146 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25,99,0.7990 ns,0.0055 ns,0.0214 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,0,0.9479 ns,0.0087 ns,0.0336 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,0,0.8232 ns,0.0047 ns,0.0182 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,25,0.9368 ns,0.0052 ns,0.0203 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,25,0.8067 ns,0.0032 ns,0.0114 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,50,0.9663 ns,0.0037 ns,0.0127 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,50,0.8251 ns,0.0077 ns,0.0298 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,75,0.9270 ns,0.0057 ns,0.0223 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,75,0.8341 ns,0.0039 ns,0.0141 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,99,0.9163 ns,0.0040 ns,0.0149 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,99,0.8295 ns,0.0018 ns,0.0063 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,0,0.9176 ns,0.0056 ns,0.0217 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,0,0.8205 ns,0.0036 ns,0.0137 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,25,0.9356 ns,0.0024 ns,0.0083 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,25,0.8327 ns,0.0052 ns,0.0201 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,50,0.9239 ns,0.0024 ns,0.0094 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,50,0.8139 ns,0.0058 ns,0.0223 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,75,0.9672 ns,0.0096 ns,0.0370 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,75,0.8482 ns,0.0048 ns,0.0188 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,99,0.9299 ns,0.0051 ns,0.0182 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,75,99,0.8005 ns,0.0063 ns,0.0245 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,0,0.9243 ns,0.0029 ns,0.0111 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,0,0.8193 ns,0.0057 ns,0.0220 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,25,0.9326 ns,0.0110 ns,0.0426 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,25,0.8424 ns,0.0054 ns,0.0210 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,50,0.9441 ns,0.0049 ns,0.0184 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,50,0.8444 ns,0.0028 ns,0.0110 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,75,0.9286 ns,0.0124 ns,0.0480 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,75,0.8225 ns,0.0054 ns,0.0203 ns,0 B
FirstArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,99,0.9339 ns,0.0038 ns,0.0142 ns,0 B
SecondArray,Default,False,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,99,99,0.8151 ns,0.0041 ns,0.0158 ns,0 B
